workout_id,lesson_id,user_id,leaderboard_position,total_points,state,app_type,app_tracker,studio_id,lesson_name,created_at
4745739,1394,391776,130,1462.2908,COMPLETED,ios,TICKR X 287A,CARDIO,Intervals #36,2020-11-07T09:30:00.701Z
4745793,1394,466539,131,1458.6471,COMPLETED,ios,TICKR X 1852,CARDIO,Intervals #36,2020-11-07T09:30:00.945Z
4745866,1394,165166,132,1458.0786,COMPLETED,ios,TICKR X FA4D,CARDIO,Intervals #36,2020-11-07T09:30:01.415Z
4745842,1394,407963,133,1455.2408,COMPLETED,ios,Versa,CARDIO,Intervals #36,2020-11-07T09:30:01.155Z
4745731,1394,327349,134,1453.9261,COMPLETED,ios,TICKR X 93FF,CARDIO,Intervals #36,2020-11-07T09:30:00.657Z
4745914,1394,168930,135,1452.4019,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:02.425Z
4745891,1394,398735,136,1451.17,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.82Z
4745912,1394,243665,136,1449.5609,COMPLETED,android,FIIT C293AC,CARDIO,Intervals #36,2020-11-07T09:30:02.39Z
4745753,1394,555965,136,1450.814,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.755Z
4745908,1394,427281,139,1449.4075,COMPLETED,ios,TICKR X E6E0,CARDIO,Intervals #36,2020-11-07T09:30:02.288Z
4745822,1394,477020,139,1467.0952,COMPLETED,ios,FIIT 875655,CARDIO,Intervals #36,2020-11-07T09:30:01.054Z
4745981,1394,227335,141,1448.0657,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:11.374Z
4745911,1394,151426,142,1446.4911,COMPLETED,ios,TICKR X 5EF1,CARDIO,Intervals #36,2020-11-07T09:30:02.379Z
4745819,1394,118450,142,1446.1084,COMPLETED,ios,TICKR X A36C,CARDIO,Intervals #36,2020-11-07T09:30:01.032Z
4745974,1394,542404,144,1441.4922,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:11.312Z
4745792,1394,55317,145,1450.9191,COMPLETED,ios,FIIT B193BD,CARDIO,Intervals #36,2020-11-07T09:30:00.941Z
4745839,1394,158761,146,1434.9401,COMPLETED,ios,FIIT 38A748,CARDIO,Intervals #36,2020-11-07T09:30:01.14Z
4746001,1394,72241,147,1441.0421,COMPLETED,ios,TICKR X AFED,CARDIO,Intervals #36,2020-11-07T09:30:12.665Z
4745949,1394,119887,148,1438.8936,COMPLETED,ios,TICKR X E886,CARDIO,Intervals #36,2020-11-07T09:30:10.543Z
4745735,1394,525134,149,1427.0016,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.685Z
4745745,1394,141065,150,1425.6145,COMPLETED,ios,TICKR X EA6B,CARDIO,Intervals #36,2020-11-07T09:30:00.748Z
4745951,1394,316971,151,1426.2402,COMPLETED,ios,TICKR X CDFB,CARDIO,Intervals #36,2020-11-07T09:30:10.72Z
4745851,1394,246500,152,1418.3158,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.214Z
4745967,1394,489438,153,1417.856,COMPLETED,ios,TICKR X BB79,CARDIO,Intervals #36,2020-11-07T09:30:11.226Z
4745963,1394,257687,154,1406.7708,COMPLETED,ios,TICKR X 2D0B,CARDIO,Intervals #36,2020-11-07T09:30:11.175Z
4745749,1394,544111,155,1403.7097,COMPLETED,ios,FIIT 4747FA,CARDIO,Intervals #36,2020-11-07T09:30:00.752Z
4745790,1394,211154,156,1400.8639,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.926Z
4745799,1394,386033,157,1399.2902,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.959Z
4745828,1394,28542,158,1396.61,COMPLETED,ios,TICKR X 863A,CARDIO,Intervals #36,2020-11-07T09:30:01.075Z
4745795,1394,182652,159,1393.7649,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.947Z
4745817,1394,193386,160,1392.2891,COMPLETED,ios,TICKR X 8B5E,CARDIO,Intervals #36,2020-11-07T09:30:01.03Z
4745831,1394,471706,161,1390.9556,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.103Z
4745860,1394,494175,162,1391.9312,COMPLETED,ios,TICKR X A947,CARDIO,Intervals #36,2020-11-07T09:30:01.327Z
4746023,1394,59088,163,1382.2659,COMPLETED,ios,TICKR X F9BB,CARDIO,Intervals #36,2020-11-07T09:30:17.429Z
4745765,1394,503172,164,1379.6104,COMPLETED,ios,TICKR X 483F,CARDIO,Intervals #36,2020-11-07T09:30:00.8Z
4745883,1394,30500,165,1379.8857,COMPLETED,ios,TICKR X 32D3,CARDIO,Intervals #36,2020-11-07T09:30:01.668Z
4745902,1394,187104,165,1379.4104,COMPLETED,ios,TICKR X 7122,CARDIO,Intervals #36,2020-11-07T09:30:02.127Z
4745985,1394,406646,167,1376.3916,COMPLETED,ios,TICKR X 294B,CARDIO,Intervals #36,2020-11-07T09:30:11.511Z
4745853,1394,469046,168,1375.248,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.263Z
4745725,1394,416477,169,1373.5388,COMPLETED,ios,FIIT CC2D91,CARDIO,Intervals #36,2020-11-07T09:30:00.627Z
4745848,1394,269942,170,1370.9193,COMPLETED,ios,Polar H10 E2B7F71B,CARDIO,Intervals #36,2020-11-07T09:30:01.173Z
